,Modelo,Tiempo (min),RMSE,R²,Eficiencia (RMSE/min)
3,EnhancedFAN,17.998254430294036,0.48164643670878005,0.562535864564162,0.02676073052384955
4,AttentionFAN,21.321661865711214,0.4823750146441777,0.56121137523592,0.022623706242144152
2,GatedFAN,24.534811385472615,0.4941580731357548,0.5395128235289492,0.020141099329108857
1,FAN,16.496414415041606,0.4987423303186292,0.5309294025733652,0.03023337785839513
0,LSTM,22.35906174580256,0.510326290255881,0.5088867681166775,0.022824137079530363
5,SARIMA,7.626624862353007,0.9585198850991339,-0.7325588890809591,0.12568074376263555
