Modelo,RMSE,R²
LSTM,0.510326290255881,0.5088867681166775
FAN,0.4987423303186292,0.5309294025733652
GatedFAN,0.4941580731357548,0.5395128235289492
EnhancedFAN,0.48164643670878005,0.562535864564162
AttentionFAN,0.4823750146441777,0.56121137523592
SARIMA,0.9585198850991339,-0.7325588890809591
