,Modelo,Hora,Error
58,LSTM,7,0.47689523249249777
59,LSTM,8,0.7691952568834178
60,LSTM,9,0.9502516225480909
61,LSTM,10,0.9381659547024428
62,LSTM,11,0.033380476369681
63,LSTM,12,0.13306971872360385
64,LSTM,13,0.04092820519099005
65,LSTM,14,0.18628567121192896
66,LSTM,15,0.45215418573294364
67,LSTM,16,0.32716572609494143
68,LSTM,17,0.6999798197250724
69,LSTM,18,0.029774496219930224
70,LSTM,19,0.3567133560140592
71,LSTM,20,0.062036952431426595
72,LSTM,21,0.3382050957297129
73,LSTM,22,0.025295925697125465
74,LSTM,23,0.4319386445943768
75,LSTM,0,0.06658637869444639
76,LSTM,1,0.08049419978112171
77,LSTM,2,0.015258677711482815
78,LSTM,3,0.04851681898709326
79,LSTM,4,0.0016368915332092282
80,LSTM,5,0.10313504082276648
81,LSTM,6,0.20851206547518686
82,LSTM,7,0.6381246908256171
83,LSTM,8,0.5647453828445184
84,LSTM,9,0.012529512360148098
85,LSTM,10,0.16576267986036664
86,LSTM,11,0.25688746615963565
87,LSTM,12,0.3990819969695458
88,LSTM,13,0.4973212219758967
89,LSTM,14,0.5527801177848097
90,LSTM,15,0.14755845826569502
91,LSTM,16,0.08146525791126602
92,LSTM,17,0.08926933072707843
93,LSTM,18,0.30904756550653434
94,LSTM,19,0.9558524376544426
95,LSTM,20,1.293753481368217
96,LSTM,21,1.2715557652228715
97,LSTM,22,1.027721240380345
98,LSTM,23,0.21765556098217798
99,LSTM,0,0.3046468736645298
100,LSTM,1,0.034449669100341085
101,LSTM,2,0.02610145831491162
102,LSTM,3,0.019418710570500375
103,LSTM,4,0.06307800009469289
104,LSTM,5,0.02939603035156424
105,LSTM,6,0.41567339426193306
106,LSTM,7,0.1795145703440224
107,LSTM,8,0.5964586904115203
108,LSTM,9,0.11616951193939817
109,LSTM,10,0.20079149502314841
110,LSTM,11,0.04139894210416495
111,LSTM,12,0.3997095306928333
112,LSTM,13,0.7417809217931648
113,LSTM,14,0.4734981148622861
114,LSTM,15,0.053298415403587374
115,LSTM,16,0.4758843688148602
116,LSTM,17,0.12975451763187262
117,LSTM,18,0.401854872463424
118,LSTM,19,0.5770207900223423
119,LSTM,20,1.09283517362664
120,LSTM,21,0.28807659849895106
121,LSTM,22,0.49162688315601777
122,LSTM,23,0.04727049356902735
123,LSTM,0,0.0035306601114404312
124,LSTM,1,0.0532389536182124
125,LSTM,2,0.010335529729714521
126,LSTM,3,0.00796174915928094
127,LSTM,4,0.021877406088583018
128,LSTM,5,0.5821589772465362
129,LSTM,6,0.6237711595476259
130,LSTM,7,0.5176851777051676
131,LSTM,8,0.7520112006979376
132,LSTM,9,0.7836547319520257
133,LSTM,10,0.1500435397844595
134,LSTM,11,0.018339922930501462
135,LSTM,12,2.4018839532769833
136,LSTM,13,0.1738026142044964
137,LSTM,14,0.48136967853691304
