Modelo,RMSE_Valores_Bajos,RMSE_Valores_Altos
LSTM,0.2984462530243848,1.2009960820809453
FAN,0.22481345794666027,1.1669029329671097
GatedFAN,0.23907799646135403,1.1894625493176445
EnhancedFAN,0.2527912485171974,1.123777178773883
AttentionFAN,0.19742688930968028,1.1460381827923707
SARIMA,1.257323683751003,0.9585726396179434
